"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 19, 2017","2,162.25","2,171.45","2,178.22","2,151.43","-","-0.36%"
"Jan 18, 2017","2,170.09","2,180.64","2,190.00","2,165.32","-","-0.40%"
"Jan 17, 2017","2,178.73","2,189.95","2,195.36","2,167.88","-","-0.47%"
"Jan 16, 2017","2,189.07","2,195.67","2,202.39","2,180.78","-","-0.28%"
"Jan 13, 2017","2,195.19","2,214.24","2,217.47","2,173.39","-","-0.76%"
"Jan 12, 2017","2,212.00","2,224.02","2,228.55","2,205.55","-","-0.30%"
"Jan 11, 2017","2,218.61","2,233.62","2,239.87","2,211.16","-","-0.84%"
"Jan 10, 2017","2,237.49","2,209.53","2,237.88","2,205.87","-","1.19%"
"Jan 09, 2017","2,211.25","2,217.74","2,227.88","2,201.60","-","-0.12%"
"Jan 06, 2017","2,213.93","2,221.36","2,230.41","2,195.44","-","-0.29%"
"Jan 05, 2017","2,220.35","2,265.72","2,270.94","2,213.45","-","-1.92%"
"Jan 04, 2017","2,263.90","2,284.61","2,284.61","2,251.75","-","-0.94%"
"Jan 03, 2017","2,285.43","2,231.52","2,293.99","2,231.52","-","2.36%"
"Dec 30, 2016","2,232.72","2,206.04","2,232.72","2,206.04","-","1.20%"
"Dec 29, 2016","2,206.33","2,182.30","2,210.49","2,169.43","-","1.07%"
"Dec 28, 2016","2,182.98","2,191.17","2,201.21","2,182.98","-","-0.29%"
"Dec 27, 2016","2,189.43","2,173.80","2,190.91","2,173.80","-","0.53%"
"Dec 26, 2016","2,177.86","2,172.86","2,186.02","2,172.26","-","0.22%"
"Dec 23, 2016","2,173.18","2,173.62","2,188.99","2,159.51","-","-0.07%"
"Dec 22, 2016","2,174.64","2,203.80","2,203.80","2,172.37","-","-1.70%"
"Dec 21, 2016","2,212.33","2,227.31","2,237.60","2,210.73","-","-0.63%"
"Dec 20, 2016","2,226.36","2,215.31","2,233.84","2,207.39","-","0.48%"
"Dec 19, 2016","2,215.69","2,233.99","2,235.12","2,215.69","-","-0.70%"
"Dec 16, 2016","2,231.41","2,239.08","2,251.23","2,229.30","-","-0.26%"
"Dec 15, 2016","2,237.23","2,217.16","2,240.14","2,202.35","-","0.37%"
"Dec 14, 2016","2,229.05","2,248.22","2,258.10","2,215.11","-","-0.80%"
"Dec 13, 2016","2,247.02","2,225.74","2,247.02","2,215.70","-","0.90%"
"Dec 12, 2016","2,226.89","2,219.13","2,242.17","2,210.06","-","0.83%"
"Dec 09, 2016","2,208.53","2,211.29","2,220.01","2,197.49","-","0.07%"
"Dec 08, 2016","2,207.02","2,168.40","2,207.02","2,167.93","-","2.15%"
"Dec 07, 2016","2,160.51","2,154.02","2,165.21","2,148.54","-","0.38%"
"Dec 06, 2016","2,152.35","2,159.25","2,177.94","2,151.07","-","-0.28%"
"Dec 05, 2016","2,158.33","2,126.93","2,163.39","2,126.93","-","1.38%"
"Dec 02, 2016","2,128.99","2,121.12","2,137.82","2,114.91","-","0.34%"
"Dec 01, 2016","2,121.87","2,110.69","2,128.70","2,110.69","-","0.81%"
"Nov 30, 2016","2,104.91","2,087.81","2,116.38","2,085.84","-","0.87%"
"Nov 29, 2016","2,086.84","2,092.13","2,098.00","2,082.71","-","-0.37%"
"Nov 28, 2016","2,094.65","2,098.33","2,104.34","2,086.36","-","-0.17%"
"Nov 25, 2016","2,098.15","2,101.47","2,106.60","2,088.40","-","-0.23%"
"Nov 24, 2016","2,102.97","2,086.56","2,107.96","2,086.56","-","0.83%"
"Nov 23, 2016","2,085.75","2,069.18","2,085.75","2,068.61","-","0.95%"
"Nov 22, 2016","2,066.18","2,062.98","2,074.89","2,057.70","-","0.36%"
"Nov 21, 2016","2,058.77","2,044.20","2,059.67","2,044.20","-","1.00%"
"Nov 18, 2016","2,038.29","2,042.23","2,048.19","2,036.29","-","-0.22%"
"Nov 17, 2016","2,042.76","2,029.85","2,045.65","2,029.30","-","0.68%"
"Nov 16, 2016","2,028.92","2,024.71","2,049.01","2,022.89","-","0.59%"
"Nov 15, 2016","2,017.06","2,025.01","2,032.04","2,009.34","-","-0.24%"
"Nov 14, 2016","2,021.99","2,034.97","2,047.03","2,017.22","-","-0.49%"
