"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 24, 2018","4,460.10","4,444.01","4,463.03","4,420.41","-","0.42%"
"Jan 23, 2018","4,441.48","4,469.89","4,484.25","4,421.66","-","-0.28%"
"Jan 22, 2018","4,453.93","4,425.30","4,467.15","4,419.85","-","0.61%"
"Jan 19, 2018","4,427.11","4,451.93","4,464.83","4,405.43","-","-0.48%"
"Jan 18, 2018","4,448.57","4,425.38","4,465.63","4,425.38","-","0.66%"
"Jan 17, 2018","4,419.44","4,369.23","4,425.16","4,342.51","-","0.80%"
"Jan 16, 2018","4,384.33","4,435.31","4,443.18","4,356.36","-","-1.08%"
"Jan 15, 2018","4,432.39","4,449.95","4,480.05","4,430.61","-","-0.11%"
"Jan 12, 2018","4,437.29","4,431.71","4,442.45","4,400.54","-","0.17%"
"Jan 11, 2018","4,429.60","4,412.10","4,437.55","4,385.50","-","0.39%"
"Jan 10, 2018","4,412.31","4,386.67","4,418.09","4,362.31","-","0.69%"
"Jan 09, 2018","4,382.08","4,349.55","4,428.67","4,349.55","-","1.01%"
"Jan 05, 2018","4,338.30","4,326.31","4,343.22","4,310.30","-","0.41%"
"Jan 04, 2018","4,320.75","4,222.32","4,324.91","4,222.32","-","2.46%"
"Jan 03, 2018","4,216.86","4,128.36","4,216.92","4,128.36","-","2.29%"
"Dec 29, 2017","4,122.45","4,105.50","4,135.49","4,098.67","-","0.41%"
"Dec 28, 2017","4,105.50","4,117.82","4,122.57","4,090.31","-","-0.24%"
"Dec 27, 2017","4,115.41","4,114.43","4,137.61","4,103.36","-","-0.02%"
"Dec 26, 2017","4,116.39","4,132.75","4,137.06","4,099.03","-","-0.30%"
"Dec 25, 2017","4,128.71","4,126.65","4,136.99","4,114.84","-","0.19%"
"Dec 22, 2017","4,120.97","4,097.13","4,136.51","4,091.83","-","0.70%"
"Dec 21, 2017","4,092.38","4,146.45","4,146.45","4,081.21","-","-1.36%"
"Dec 20, 2017","4,148.98","4,173.38","4,177.04","4,125.35","-","-0.76%"
"Dec 19, 2017","4,180.72","4,214.07","4,220.79","4,162.83","-","-0.74%"
"Dec 18, 2017","4,211.69","4,241.47","4,268.83","4,194.17","-","-0.47%"
"Dec 15, 2017","4,231.75","4,260.41","4,263.08","4,228.49","-","-0.60%"
"Dec 14, 2017","4,257.39","4,197.93","4,258.94","4,188.86","-","1.44%"
"Dec 13, 2017","4,196.95","4,272.04","4,282.40","4,193.56","-","-1.70%"
"Dec 12, 2017","4,269.69","4,253.87","4,273.05","4,243.50","-","0.78%"
"Dec 11, 2017","4,236.83","4,175.37","4,243.37","4,175.37","-","1.50%"
"Dec 08, 2017","4,174.12","4,172.49","4,207.29","4,168.21","-","0.12%"
"Dec 07, 2017","4,169.10","4,192.93","4,199.12","4,157.09","-","-0.66%"
"Dec 06, 2017","4,196.87","4,187.04","4,212.17","4,163.01","-","0.15%"
"Dec 05, 2017","4,190.46","4,209.61","4,209.61","4,170.75","-","-0.53%"
"Dec 04, 2017","4,212.83","4,208.51","4,225.71","4,173.11","-","0.08%"
"Dec 01, 2017","4,209.64","4,203.81","4,234.93","4,178.58","-","0.58%"
"Nov 30, 2017","4,185.24","4,271.53","4,271.53","4,181.00","-","-2.03%"
"Nov 29, 2017","4,271.85","4,315.80","4,320.85","4,268.15","-","-0.79%"
"Nov 28, 2017","4,305.86","4,312.28","4,312.28","4,279.00","-","-0.13%"
"Nov 27, 2017","4,311.63","4,345.76","4,356.43","4,304.89","-","-0.81%"
"Nov 24, 2017","4,346.68","4,327.34","4,358.23","4,320.33","-","0.43%"
"Nov 23, 2017","4,328.19","4,345.95","4,355.42","4,316.19","-","-0.38%"
"Nov 22, 2017","4,344.77","4,360.78","4,381.96","4,324.42","-","-0.05%"
"Nov 21, 2017","4,346.93","4,304.43","4,349.48","4,302.04","-","1.11%"
"Nov 20, 2017","4,299.24","4,299.33","4,324.49","4,273.66","-","0.06%"
"Nov 17, 2017","4,296.69","4,311.61","4,323.00","4,291.82","-","-0.23%"
"Nov 16, 2017","4,306.67","4,308.21","4,321.62","4,244.70","-","0.05%"
"Nov 15, 2017","4,304.43","4,356.43","4,364.66","4,295.35","-","-1.93%"
"Nov 14, 2017","4,389.06","4,429.05","4,454.47","4,387.64","-","-1.18%"
"Nov 13, 2017","4,441.34","4,452.85","4,473.56","4,429.54","-","-0.27%"
"Nov 10, 2017","4,453.27","4,492.68","4,501.23","4,443.03","-","-0.87%"
"Nov 09, 2017","4,492.24","4,451.74","4,494.98","4,433.46","-","0.74%"
"Nov 08, 2017","4,459.11","4,423.11","4,478.73","4,404.09","-","0.86%"
"Nov 07, 2017","4,420.91","4,344.37","4,428.44","4,344.37","-","2.18%"
