11.01.2006,03.04.2006,EESR,LKOH,RTKM,RU0009029540,RU0009029557,RU14GMKN0507,RU14TATN3006,SNGS,URSI,YUKO
04.04.2006,03.07.2006,EESR,GAZP,LKOH,RTKM,RU0009029540,RU0009029557,RU14GMKN0507,SNGS,URSI,YUKO
04.07.2006,02.10.2006,EESR,GAZP,LKOH,RTKM,RU0009029540,RU0009029557,RU14GMKN0507,RU14TATN3006,SNGS,URSI
03.10.2006,10.01.2007,GAZP,EESR,LKOH,RU14GMKN0507,SNGS,RU14TATN3006,RTKM,SBER,URSI,SBERP
11.01.2007,02.04.2007,EESR,GAZP,GMKN,LKOH,RTKMP,RU14TATN3006,SBER,SBERP,SNGS,URSI
03.04.2007,02.07.2007,EESR,GAZP,LKOH,GMKN,SBER,SBERP,SNGS,URSI,RTKMP,ROSN
03.07.2007,17.07.2007,EESR,EESRP,GAZP,GMKN,LKOH,ROSN,RTKMP,SBER,SBERP,SNGS
18.07.2007,20.07.2007,EESR,EESRP,GAZP,GMKN,LKOH,ROSN,RTKMP,SNGS,,
23.07.2007,02.10.2007,EESR,EESRP,GAZP,GMKN,LKOH,ROSN,RTKMP,SBER,SBERP,SNGS
03.10.2007,10.01.2008,EESR,GAZP,GMKN,LKOH,PLZL,ROSN,RU14TATN3006,SBER03,SBERP03,SNGS
11.01.2008,01.04.2008,EESR,LKOH,RU14TATN3006,SBER03,GAZP,SNGS,SNGSP,GMKN,ROSN,VTBR
02.04.2008,29.04.2008,GAZP,GMKN,SBER03,LKOH,EESR,VTBR,ROSN,SNGS,SNGSP,SBERP03
30.04.2008,01.07.2008,GAZP,GMKN,SBER03,LKOH,VTBR,ROSN,RU14TATN3006,SNGS,SNGSP,SBERP03
02.07.2008,01.10.2008,GAZP,GMKN,LKOH,ROSN,SBER03,SBERP03,SNGS,SNGSP,URSI,VTBR
02.10.2008,11.01.2009,GAZP,SBER03,LKOH,GMKN,ROSN,VTBR,SNGS,SNGSP,SBERP03,PLZL
12.01.2009,01.04.2009,GAZP,SBER03,LKOH,ROSN,GMKN,VTBR,SNGS,URKA,PLZL,SBERP03
02.04.2009,01.07.2009,GAZP,SBER03,LKOH,GMKN,ROSN,SNGS,VTBR,PLZL,URKA,SBERP03
02.07.2009,01.10.2009,SBER03,GAZP,LKOH,GMKN,SBERP03,VTBR,ROSN,SNGS,URKA,HYDR
02.10.2009,11.01.2010,SBER03,GAZP,GMKN,LKOH,SBERP03,ROSN,VTBR,SNGS,HYDR,CHMF
12.01.2010,01.04.2010,FEES,GAZP,GMKN,HYDR,LKOH,ROSN,SBER03,SBERP03,SNGS,VTBR
