TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE
AFLT,2000-01-05,7,7,6.88,6.9,11090,6.9154
AVAZ,2000-01-05,42.5,42.5,42.5,42.5,1300,42.5
DALE,2000-01-05,0.08,0.1,0.08,0.1,1100000,0.0818
DALEP,2000-01-05,0.03,0.035,0.03,0.032,2743000,0.0323
EESR,2000-01-05,2.8,3.25,2.746,3.216,174090400,3.0151
EESRP,2000-01-05,1.131,1.298,1.111,1.274,28539600,1.2324
IRGZ,2000-01-05,2.35,2.69,2.35,2.58,1082100,2.5024
LKOH,2000-01-05,315,339,306.5,339,92087,328.0051
MFGS,2000-01-05,,,,,0,29
MICEXINDEXCF,2000-01-05,151.87,173,151.87,173,2049,167.396
MSNG,2000-01-05,1.09,1.143,1,1.111,16797300,1.0799
RTKM,2000-01-05,55,75,55,73.99,23400,64.45
RTKMP,2000-01-05,18,22.9,18,20.1,18700,20.3134
RU0008926639,2000-01-05,25,31.8,25,30,5900,25.3864
RU0008927173,2000-01-05,40,40,40,40,200,40
RU0008958863,2000-01-05,1.05,1.15,1,1.101,1473600,1.0931
RU0009004642,2000-01-05,160,180,160,180,500,164
RU0009033591,2000-01-05,12.5,12.5,11,12.37,106300,12.0561
RU0009046650,2000-01-05,,,,,0,6.5
RU0009046668,2000-01-05,139.5,154,139.5,151.48,4012,147.0267
RU0009046676,2000-01-05,150,150,150,150,900,150
RU0009058218,2000-01-05,,,,,0,2.25
RU0009058804,2000-01-05,,,,,0,19
RU0009071187,2000-01-05,42.5,42.5,42.5,42.5,1300,42.5
RU0009098255,2000-01-05,0.9,0.92,0.9,0.92,29500,0.9136
RU0009099964,2000-01-05,3,3,3,3,12000,3
RU14TATN2016,2000-01-05,4,4,4,4,100,4
RU14URSI6005,2000-01-05,0.36,0.36,0.35,0.35,148400,0.352
RU14YFGA1016,2000-01-05,20,20,20,20,500,20
SBER,2000-01-05,1150,1264.88,1080,1231.83,29939,1197.3457
SBERP,2000-01-05,10.5,12.49,10.5,12.19,270000,11.7936
SIBN,2000-01-05,8.5,8.5,8.5,8.5,100,8.5
SNGS,2000-01-05,9.349,9.5,8.25,9.4,1168500,8.9811
SNGSP,2000-01-05,2.79,3.049,2.75,3.049,235100,2.8508
VTEL,2000-01-05,3,3,3,3,12500,3
AFLT,2000-01-06,,,,,0,16
AVAZ,2000-01-06,,,,,0,43
DALE,2000-01-06,,,,,0,0.07
DALEP,2000-01-06,0.037,0.037,0.03,0.03,750000,0.0339
EESR,2000-01-06,3.25,3.479,3.24,3.422,90192200,3.3833
EESRP,2000-01-06,1.28,1.347,1.279,1.33,13787900,1.3212
IRGZ,2000-01-06,2.6,2.7,2.503,2.635,165200,2.6164
LKOH,2000-01-06,339,349,339,348.5,42145,346.9073
MFGS,2000-01-06,,,,,0,31.4
MICEXINDEXCF,2000-01-06,173,186.26,173,186.26,747,183.5889
MSNG,2000-01-06,1.128,1.19,1.128,1.19,4595400,1.1641
RTKM,2000-01-06,73,75,72,74,16100,72.7876
RTKMP,2000-01-06,22,22.49,22,22.49,7400,22.1589
RU0008926639,2000-01-06,,,,,0,33
RU0008958863,2000-01-06,1.17,1.18,1.15,1.18,1034700,1.1628
RU0009004642,2000-01-06,200,200,199,199,400,199.5
RU0009033591,2000-01-06,12.85,13.1,12.85,13.1,72400,12.982
RU0009046668,2000-01-06,150,151,150,151,1872,150.8013
RU0009046676,2000-01-06,179.99,179.99,179.99,179.99,200,179.99
RU0009058804,2000-01-06,,,,,0,15.5
RU0009071187,2000-01-06,,,,,0,43
RU0009098255,2000-01-06,1,1,1,1,5000,1
RU14TATN2016,2000-01-06,4,4,4,4,1100,4
RU14URSI6005,2000-01-06,0.35,0.35,0.35,0.35,138100,0.35
SBER,2000-01-06,1230,1280,1230,1257.95,14953,1259.3219
SBERP,2000-01-06,12.44,12.49,12,12.4,99000,12.2432
SNGS,2000-01-06,9.685,9.69,9.4,9.59,1502100,9.57
SNGSP,2000-01-06,3.05,3.11,3.02,3.055,603000,3.064
AFLT,2000-01-10,7,7,6.5,6.5,45344,6.7554
AVAZ,2000-01-10,,,,,0,43
DALE,2000-01-10,0.025,0.08,0.025,0.06,16614300,0.0543
DALEP,2000-01-10,0.03,0.035,0.024,0.033,3808900,0.0272
EESR,2000-01-10,3.76,4.31,3.717,4.271,276882800,4.0431
EESRP,2000-01-10,1.385,1.62,1.38,1.609,52873200,1.5095
IRGZ,2000-01-10,2.85,2.945,2.665,2.901,1191500,2.8308
KZBE,2000-01-10,,,,,0,3.5
LKOH,2000-01-10,380,388,360,388,101326,374.5473
LSNGP,2000-01-10,,,,,0,3
MFGS,2000-01-10,,,,,0,40
MICEXINDEXCF,2000-01-10,186.26,204.92,186.26,200.81,2582,199.3207
MSNG,2000-01-10,1.3,1.394,1.201,1.375,23367300,1.3245
RTKM,2000-01-10,72,73.99,61,72,74000,70.7965
RTKMP,2000-01-10,23.5,23.5,20.01,22.98,26900,22.1342
RU0008926639,2000-01-10,39.8,44.5,37,39,1700,40.2118
RU0008958863,2000-01-10,1.37,1.37,0.9,1.341,2796600,1.2779
RU0009004642,2000-01-10,223,223,196.2,209.5,5500,205.2124
RU0009033591,2000-01-10,15.5,15.6,13.12,14.35,155300,14.2665
