TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE
AFLT,2001-01-03,,,,,0,5.1
AVAZ,2001-01-03,,,,,,
AVAZP,2001-01-03,,,,,,
DALE,2001-01-03,,,,,0,0.0135
DALEP,2001-01-03,0.007,0.007,0.007,0.007,86300,0.007
DLSV,2001-01-03,,,,,,
DLSVP,2001-01-03,,,,,,
EESR,2001-01-03,2.15,2.16,1.98,2.03,348608400,2.064
EESRP,2001-01-03,0.8,0.828,0.755,0.774,5552800,0.783
IRGZ,2001-01-03,1.9,1.9,1.86,1.86,323400,1.871
KRNGP,2001-01-03,0.46,0.54,0.46,0.53,17000,0.47
LKOH,2001-01-03,241,249,233,237.68,114103,240.39
MFGS,2001-01-03,,,,,0,55
MFGSP,2001-01-03,,,,,,
MICEXINDEXCF,2001-01-03,144.39,144.39,135.73,135.73,2,144.39
MSNG,2001-01-03,0.678,0.678,0.621,0.636,4587400,0.644
RTKM,2001-01-03,23.75,24.39,22.44,22.89,375500,23.39
RTKMP,2001-01-03,10,10.01,10,10,24800,10
RTSE,2001-01-03,,,,,0,0.28
RU0008926639,2001-01-03,,,,,0,50
RU0008958863,2001-01-03,0.67,0.67,0.67,0.67,4000,0.67
RU0009004642,2001-01-03,193,193,193,193,200,193
RU0009033591,2001-01-03,9.51,9.92,9.42,9.42,151600,9.49
RU0009046650,2001-01-03,,,,,0,13.625
RU0009046668,2001-01-03,250,250,249.78,249.78,900,249.94
RU0009046676,2001-01-03,,,,,0,180
RU0009058218,2001-01-03,3.5,3.5,3.5,3.5,10000,3.5
RU0009058804,2001-01-03,,,,,0,15
RU0009071187,2001-01-03,,,,,,
RU0009071195,2001-01-03,,,,,,
RU0009098255,2001-01-03,,,,,,
RU0009099923,2001-01-03,,,,,0,27
RU0009099964,2001-01-03,,,,,,
RU0009099972,2001-01-03,,,,,,
RU14HTCM5004,2001-01-03,,,,,0,43
RU14INUR2017,2001-01-03,42,42,42,42,2200,42
RU14TATN2016,2001-01-03,4.8,4.8,4.8,4.8,2500,4.8
RU14VOST1005,2001-01-03,,,,,0,0.325
SARE,2001-01-03,0.1,0.1,0.1,0.1,750000,0.1
SAREP,2001-01-03,,,,,0,0.055
SBER,2001-01-03,680,684,630,645.01,5000,654.2
SBERP,2001-01-03,7.9,8.1,7,7.69,13100,6.77
SIBN,2001-01-03,8.8,8.8,8.8,8.8,100,8.8
SNGS,2001-01-03,5.55,5.68,5.15,5.259,4341100,5.369
SNGSP,2001-01-03,2.465,2.575,2.4,2.454,1160200,2.49
TOME,2001-01-03,,,,,,
