TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE
AFLT,2003-01-04,11.13,11.13,10.75,10.88,2882,10.88
AVAZ,2003-01-04,685,693,680,693,885,692.96
AVAZP,2003-01-04,378.49,384.98,375,380,1003,380.4
DALE,2003-01-04,0.09,0.093,0.09,0.091,6304500,0.091
DALEP,2003-01-04,0.058,0.06,0.058,0.059,5334500,0.059
EESR,2003-01-04,4.138,4.208,4.123,4.197,160486800,4.186
EESRP,2003-01-04,3.372,3.43,3.372,3.416,1062600,3.408
GMKN,2003-01-04,646.97,654.99,641,654.05,36434,653.95
IRGZ,2003-01-04,2.471,2.498,2.471,2.478,188200,2.481
KRNG,2003-01-04,,,,,0,7.695
KRNGP,2003-01-04,3.43,3.45,3.43,3.45,21000,3.431
LKOH,2003-01-04,492.5,499.41,491.2,496.5,215554,496.82
MFGS,2003-01-04,280,280,278,280,9655,278.06
MICEX10INDEX,2003-01-04,586.65,592.23,584.47,590.89,4658,589.7198
MICEXINDEXCF,2003-01-04,320.05,321.808,318.8298,320.9204,4744,320.7661
MICEXTECHIND,2003-01-04,692.3,695.81,691.8,695.46,512,694.4132
MSNG,2003-01-04,1.008,1.019,1.003,1.013,14764000,1.012
OMZZ,2003-01-04,,,,,0,145
PKBA,2003-01-04,,,,,0,410
RBCI,2003-01-04,18.76,19.57,18.76,19.39,22901,19.11
RTKM,2003-01-04,38.55,39.5,38.32,39.31,2419578,39.1
RTKMP,2003-01-04,24.4,25.2,24.4,25.05,150775,24.95
RTSE,2003-01-04,0.706,0.706,0.641,0.641,20200,0.706
RU0008926258,2003-01-04,10.199,10.245,10.145,10.2,7620500,10.21
RU0008926621,2003-01-04,4.138,4.208,4.123,4.197,160486800,4.197
RU0008926639,2003-01-04,163,163,151.01,153.8,1323,160.34
RU0008943394,2003-01-04,38.55,39.5,38.32,39.3,2419578,39.31
RU0008958863,2003-01-04,,,,,0,0.9865
RU0008960828,2003-01-04,2.471,2.498,2.471,2.478,188200,2.479
RU0009024277,2003-01-04,492.5,499.41,491.2,496.5,215554,496.67
RU0009029524,2003-01-04,7.836,7.9,7.67,7.805,1612000,7.782
RU0009029532,2003-01-04,3.372,3.43,3.372,3.416,1062600,3.416
RU0009046619,2003-01-04,5.15,5.15,5.15,5.15,100000,5.15
RU0009046700,2003-01-04,24.4,25.2,24.4,25.05,150775,25.05
RU0009054449,2003-01-04,297.2,297.8,295.01,296.6,109858,296.75
RU0009058804,2003-01-04,89,90.2,85,85,1485,87.6
RU0009071187,2003-01-04,685,693,680,693,885,692.96
RU0009071195,2003-01-04,378.49,384.98,375,380,1003,380.4
RU0009083893,2003-01-04,75.5,76,75.5,76,28,75.97
